speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
normoc,Northern Mockingbird,Mimus polyglottos,L61035426,Joe Holland Chevrolet Service,2026-03-26 01:55,1.0,38.3711187,-81.698139,True,False,True,S313179497,
brdowl,Barred Owl,Strix varia,L20392078,"Corley Woods, Lexington",2026-03-26 01:34,1.0,33.98166,-81.2107767,True,False,True,S313177861,
blujay,Blue Jay,Cyanocitta cristata,L56595213,The Tokarczyk's,2026-03-26 00:46,2.0,47.0854586,-91.602981,True,False,True,S313179096,
comrav,Common Raven,Corvus corax,L56595213,The Tokarczyk's,2026-03-26 00:46,3.0,47.0854586,-91.602981,True,False,True,S313179096,
pilwoo,Pileated Woodpecker,Dryocopus pileatus,L56595213,The Tokarczyk's,2026-03-26 00:46,3.0,47.0854586,-91.602981,True,False,True,S313179096,
amecro,American Crow,Corvus brachyrhynchos,L56595213,The Tokarczyk's,2026-03-26 00:46,2.0,47.0854586,-91.602981,True,False,True,S313179096,
amerob,American Robin,Turdus migratorius,L5660776,US-Wisconsin-Avoca-Hay Road - 43.187x-90.291,2026-03-26 00:13,1.0,43.1870115,-90.2912451,True,False,True,S313039924,
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L5660776,US-Wisconsin-Avoca-Hay Road - 43.187x-90.291,2026-03-26 00:13,9.0,43.1870115,-90.2912451,True,False,True,S313039924,
moudov,Mourning Dove,Zenaida macroura,L5660776,US-Wisconsin-Avoca-Hay Road - 43.187x-90.291,2026-03-26 00:13,1.0,43.1870115,-90.2912451,True,False,True,S313039924,
reshaw,Red-shouldered Hawk,Buteo lineatus,L60046157,TNC,2026-03-25 23:44,1.0,45.101246,-93.038531,True,False,True,S313174786,
wooduc,Wood Duck,Aix sponsa,L231287,ME-Yard-Gardiner,2026-03-25 23:31,1.0,44.2260597,-69.7787393,True,False,True,S313170260,
grhowl,Great Horned Owl,Bubo virginianus,L1168548,Castle Rocks SP--Smoky Mt. Campground,2026-03-25 23:31,2.0,42.07461,-113.65178,True,False,False,S313178217,
easowl1,Eastern Screech-Owl,Megascops asio,L57765449,Carlton Arms Apartments,2026-03-25 23:30,1.0,28.6023541,-81.3109437,True,False,True,S313173913,
