speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
ribgul,Ring-billed Gull,Larus delawarensis,L3519937,Sussex water treatment facility,2026-03-27 14:41,2.0,45.7196639,-65.5392355,True,False,False,S313672192,
amtspa,American Tree Sparrow,Spizelloides arborea,L3519937,Sussex water treatment facility,2026-03-27 14:41,2.0,45.7196639,-65.5392355,True,False,False,S313672192,
comgol,Common Goldeneye,Bucephala clangula,L3519937,Sussex water treatment facility,2026-03-27 14:41,2.0,45.7196639,-65.5392355,True,False,False,S313672192,
cangoo,Canada Goose,Branta canadensis,L3519937,Sussex water treatment facility,2026-03-27 14:41,2.0,45.7196639,-65.5392355,True,False,False,S313672192,
nswowl,Northern Saw-whet Owl,Aegolius acadicus,L13296162,Sackville Greenway,2026-03-27 14:32,1.0,44.7765914,-63.6901911,True,False,False,S313669355,
sonspa,Song Sparrow,Melospiza melodia,L13296162,Sackville Greenway,2026-03-27 14:32,1.0,44.7765914,-63.6901911,True,False,False,S313669355,
amecro,American Crow,Corvus brachyrhynchos,L13296162,Sackville Greenway,2026-03-27 14:32,1.0,44.7765914,-63.6901911,True,False,False,S313669355,
bkcchi,Black-capped Chickadee,Poecile atricapillus,L13296162,Sackville Greenway,2026-03-27 14:32,2.0,44.7765914,-63.6901911,True,False,False,S313669355,
x00004,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,L13296162,Sackville Greenway,2026-03-27 14:32,1.0,44.7765914,-63.6901911,True,False,False,S313669355,
y00478,Iceland Gull,Larus glaucoides,L13426700,Marystown--Drakes Cove,2026-03-27 14:26,2.0,47.1632868,-55.1774478,True,False,False,S313657361,
amhgul1,American Herring Gull,Larus smithsonianus,L13426700,Marystown--Drakes Cove,2026-03-27 14:26,5.0,47.1632868,-55.1774478,True,False,False,S313657361,
buffle,Bufflehead,Bucephala albeola,L13426700,Marystown--Drakes Cove,2026-03-27 14:26,2.0,47.1632868,-55.1774478,True,False,False,S313657361,
comloo,Common Loon,Gavia immer,L13426700,Marystown--Drakes Cove,2026-03-27 14:26,4.0,47.1632868,-55.1774478,True,False,False,S313657361,
mallar3,Mallard,Anas platyrhynchos,L13426700,Marystown--Drakes Cove,2026-03-27 14:26,14.0,47.1632868,-55.1774478,True,False,False,S313657361,X
rocpig,Rock Pigeon,Columba livia,L13426700,Marystown--Drakes Cove,2026-03-27 14:26,8.0,47.1632868,-55.1774478,True,False,False,S313657361,N
eursta,European Starling,Sturnus vulgaris,L10766823,Lower Onslow--Fort Belcher Rd,2026-03-27 14:24,235.0,45.372472,-63.4110672,True,False,False,S313671993,N
amerob,American Robin,Turdus migratorius,L10766823,Lower Onslow--Fort Belcher Rd,2026-03-27 14:24,265.0,45.372472,-63.4110672,True,False,False,S313671993,
blujay,Blue Jay,Cyanocitta cristata,L10766823,Lower Onslow--Fort Belcher Rd,2026-03-27 14:24,6.0,45.372472,-63.4110672,True,False,False,S313671993,
moudov,Mourning Dove,Zenaida macroura,L10766823,Lower Onslow--Fort Belcher Rd,2026-03-27 14:24,10.0,45.372472,-63.4110672,True,False,False,S313671993,
houspa,House Sparrow,Passer domesticus,L10766823,Lower Onslow--Fort Belcher Rd,2026-03-27 14:24,2.0,45.372472,-63.4110672,True,False,False,S313671993,N
bargol,Barrow's Goldeneye,Bucephala islandica,L18601917,"Fish Hatchery Lane, New Brunswick, CA (45.958, -66.844)",2026-03-27 14:18,2.0,45.9581966,-66.8440155,True,False,True,S313663595,
commer,Common Merganser,Mergus merganser,L18601917,"Fish Hatchery Lane, New Brunswick, CA (45.958, -66.844)",2026-03-27 14:18,6.0,45.9581966,-66.8440155,True,False,True,S313663595,
rebnut,Red-breasted Nuthatch,Sitta canadensis,L6925888,"573, Hwy 204",2026-03-27 14:15,1.0,45.8132472,-64.1661215,True,False,True,S313663984,
norcar,Northern Cardinal,Cardinalis cardinalis,L6925888,"573, Hwy 204",2026-03-27 14:15,1.0,45.8132472,-64.1661215,True,False,True,S313663984,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L20455771,"561 Shore Rd, Colchester CA-NS 45.38319, -63.48092",2026-03-27 14:08,1.0,45.383191,-63.480922,True,False,True,S313661614,
daejun,Dark-eyed Junco,Junco hyemalis,L20455771,"561 Shore Rd, Colchester CA-NS 45.38319, -63.48092",2026-03-27 14:08,1.0,45.383191,-63.480922,True,False,True,S313661614,
gbbgul,Great Black-backed Gull,Larus marinus,L61127575,"Mar 27, 2026 2:58 p.m.
42.366, -66.475",2026-03-27 14:08,2.0,42.3655333,-66.4749921,True,False,True,S313665247,
